#time     rbondvec_in_meters                                          rbond_magnitude               rbond_unit_vector
100       [1.1445389e-10,5.432892e-11,-3.3664703e-12]                 1.2673855e-10                 [0.90307087,0.42866924,-0.026562324]
200       [1.10172274e-10,5.6954576e-11,-9.234619e-12]                1.2436652e-10                 [0.88586766,0.45795748,-0.07425326]
300       [1.1668835e-10,4.0930558e-11,1.4488983e-11]                 1.2450467e-10                 [0.9372207,0.32874715,0.11637301]
400       [1.214611e-10,3.1801606e-11,6.1332705e-12]                  1.2570504e-10                 [0.9662389,0.25298592,0.048790965]
500       [8.731804e-11,8.216553e-11,-1.5389634e-11]                  1.2088198e-10                 [0.72234124,0.67971694,-0.12731123]
600       [1.079731e-10,5.435562e-11,1.1093903e-11]                   1.213911e-10                  [0.8894647,0.44777268,0.09138975]
700       [9.42009e-11,7.716332e-11,-2.5741577e-12]                   1.2179742e-10                 [0.7734228,0.6335382,-0.021134747]
800       [1.0645447e-10,5.92041e-11,2.194214e-12]                    1.2182978e-10                 [0.87379676,0.48595753,0.01801049]
900       [1.06904985e-10,5.8882905e-11,-1.4278412e-11]               1.2288102e-10                 [0.8699877,0.47918633,-0.11619704]
1000      [1.1194954e-10,5.133667e-11,7.320404e-13]                   1.2316123e-10                 [0.9089674,0.41682494,0.005943757]
1100      [1.08498e-10,5.608635e-11,-1.2539673e-11]                   1.2277923e-10                 [0.8836837,0.4568065,-0.10213187]
1200      [1.09731675e-10,5.1506042e-11,5.04303e-13]                  1.212195e-10                  [0.9052312,0.42489895,0.004160246]
1300      [1.02936555e-10,6.6739274e-11,-8.229828e-12]                1.2295444e-10                 [0.83719265,0.5427968,-0.06693397]
1400      [1.002449e-10,7.572403e-11,-7.765579e-12]                   1.2587087e-10                 [0.7964107,0.60160094,-0.06169481]
1500      [1.1194763e-10,5.2578355e-11,-3.9718628e-12]                1.2374382e-10                 [0.9046725,0.4248968,-0.032097463]
1600      [1.0703011e-10,6.207771e-11,-3.7967685e-12]                 1.2378813e-10                 [0.8646233,0.50148356,-0.030671505]
1700      [1.0621223e-10,5.8195115e-11,-7.9666135e-12]                1.2137207e-10                 [0.8750962,0.47947702,-0.065637946]
1800      [1.07112506e-10,6.4079284e-11,-7.282257e-13]                1.2481896e-10                 [0.8581429,0.5133778,-0.0058342554]
1900      [1.1355934e-10,5.1929856e-11,-2.4032593e-13]                1.248699e-10                  [0.9094212,0.41587168,-0.0019246105]
2000      [1.0022812e-10,6.778641e-11,-2.3277283e-11]                 1.2321731e-10                 [0.8134256,0.55013704,-0.18891244]
2100      [9.902763e-11,7.229157e-11,-9.960556e-12]                   1.230112e-10                  [0.8050294,0.58768284,-0.08097275]
2200      [1.02931406e-10,7.385597e-11,1.5541076e-12]                 1.2669646e-10                 [0.81242526,0.58293635,0.012266385]
2300      [1.094492e-10,5.2718354e-11,-2.747345e-12]                  1.2151502e-10                 [0.9007051,0.43384227,-0.0226091]
2400      [1.0291977e-10,5.849686e-11,-2.2954942e-11]                 1.2058728e-10                 [0.8534878,0.48509976,-0.19035956]
2500      [1.03474236e-10,6.1704634e-11,-3.011055e-11]                1.2418142e-10                 [0.8332506,0.49689105,-0.24247228]
2600      [9.7649576e-11,7.4866106e-11,-5.704117e-12]                 1.2317837e-10                 [0.79274935,0.6077861,-0.04630778]
2700      [1.1498108e-10,4.6614837e-11,-3.2016755e-12]                1.2411222e-10                 [0.9264284,0.3755862,-0.025796618]
2800      [1.0536842e-10,6.4836504e-11,-1.0042191e-11]                1.2412543e-10                 [0.84888667,0.5223467,-0.080903575]
2900      [1.068367e-10,5.972519e-11,-1.0836411e-11]                  1.2287639e-10                 [0.8694648,0.48605913,-0.08818953]
3000      [1.1897087e-10,4.4207766e-11,-2.087822e-11]                 1.2862462e-10                 [0.9249463,0.34369597,-0.16231899]
3100      [1.1201572e-10,4.6508408e-11,2.7420043e-12]                 1.2131807e-10                 [0.9233227,0.38335928,0.022601781]
3200      [1.10453036e-10,4.666214e-11,-5.923462e-12]                 1.200513e-10                  [0.92004865,0.388685,-0.049341086]
3300      [9.526234e-11,7.394104e-11,-2.2817612e-11]                  1.2273074e-10                 [0.7761897,0.6024655,-0.18591604]
3400      [1.1357498e-10,5.056877e-11,-7.5382235e-12]                 1.2455241e-10                 [0.911865,0.40600395,-0.0605225]
3500      [1.070549e-10,5.632515e-11,5.6056978e-12]                   1.2109788e-10                 [0.8840361,0.46512085,0.046290636]
3600      [1.0744858e-10,5.9316635e-11,6.526947e-13]                  1.2273584e-10                 [0.87544584,0.483287,0.005317882]
3700      [1.0263519e-10,6.8135456e-11,-1.7860031e-11]                1.2448054e-10                 [0.82450795,0.5473583,-0.1434765]
3800      [7.9579926e-11,8.765831e-11,-2.4436187e-11]                 1.2088867e-10                 [0.658291,0.725116,-0.20213793]
3900      [9.683075e-11,7.619934e-11,-9.527588e-12]                   1.2358523e-10                 [0.78351396,0.6165732,-0.07709326]
4000      [1.01812364e-10,6.697197e-11,-3.6392214e-13]                1.2186523e-10                 [0.8354505,0.5495577,-0.0029862672]
4100      [1.05987934e-10,5.9016035e-11,1.8071366e-11]                1.2264954e-10                 [0.86415267,0.48117614,0.14734149]
4200      [1.0063248e-10,7.46376e-11,3.5072327e-12]                   1.253394e-10                  [0.8028798,0.59548396,0.027981885]
4300      [1.0562248e-10,5.3042983e-11,-3.1349183e-12]                1.1823491e-10                 [0.8933274,0.44862372,-0.026514322]
4400      [1.1043549e-10,5.9167865e-11,-9.429932e-12]                 1.2564139e-10                 [0.8789738,0.47092655,-0.07505434]
4500      [1.0116882e-10,7.548561e-11,-1.2889862e-12]                 1.2623338e-10                 [0.8014427,0.59798455,-0.010211135]
4600      [9.983101e-11,7.286568e-11,-2.077179e-11]                   1.2532798e-10                 [0.796558,0.5813999,-0.16573945]
4700      [1.02542495e-10,5.823326e-11,-2.7883149e-11]                1.2117568e-10                 [0.84623,0.48056886,-0.23010516]
4800      [1.0448761e-10,6.395836e-11,-1.6342164e-11]                 1.2359369e-10                 [0.8454122,0.5174889,-0.1322249]
